"Resource Name","Alarm Text","Severity","Raised Time (System)","Acknowledged"
"PERDAU - SANGATA2 FREK.6G CH1-CH3 XPIC (VERTICAL)/Radio-9.1","Remote communication failure","CRITICAL","October 12, 2021 10:16:18 PM",N
"SEI BATANG - NUNUKAN R/Radio-5.1","Remote communication failure","CRITICAL","September 14, 2021 3:41:28 AM",N
"TVRI NATUNA - LAGONG SYS 2 FREK. 8GHz","LOST CONTACT","INDETERMINATE","October 16, 2021 11:01:26 AM",N
"Telkom Site Bundung (Backup Telkomsel Pebruari 2014)/ETY-4.3","Ethernet loss of carrier on port #3","MAJOR","September 29, 2021 8:32:49 PM",N
"BESANA TO STO SOE/Radio-5.1-XPIC.2","RFU communication failure","WARNING","March 22, 2019 5:21:31 PM",Y
"MAMBURUNGAN TO BUKIT BARATAN PHASE 2","LOST CONTACT","INDETERMINATE","March 18, 2021 11:39:34 AM",N
"BTS ELOPADA_BTS WAIMANGURA #1, CH.5/ETY-3.4","Ethernet loss of carrier on port #4","MAJOR","May 7, 2021 7:57:49 PM",N
"WAINGAPU - PUARLOLO (4+0) SEPTEMBER 2019-System-2/ETY-1.6","Loss of Carrier","MAJOR","July 28, 2021 10:21:27 AM",N
"BTS TSEL SEBA - REP. TSEL ALIOGO SEBA 2+0 8 GHz CH 2 L","HTTP LOGON FAILURE","WARNING","February 25, 2021 2:20:16 PM",N
"01 TANJUNG TABALONG/Shelf/Slot 1 - STO Tanjung - Tamiang Layang / Ch 2 Low / 8 GHz/IDU","Remote communication failure","MAJOR","September 9, 2021 12:52:48 AM",N
"NIMBOKRANG - REP. KAPTIAU SYSTEM 2/Radio-4.1","Radio loss of frame","CRITICAL","July 21, 2021 11:14:09 PM",N
"BKT SAMBUKU - BKT MANUALAI 2+0 8 GHz CH 6 LOW/Shelf/Slot 1 - BKT SAMBUKU - BKT MANUALAI 2+0 8 GHz CH 6 LOW/IDU","E1/DS1 unexpected signal on port #9","WARNING","June 28, 2021 11:38:08 AM",N
"REP. GUMPANG TO BABUSSALAM 8 GHz CH6 + CH.8 (2+0) VERTICAL/1RU/Slot 1","Activation key violation","CRITICAL","December 8, 2020 6:42:49 PM",N
"REP. RANSIKI TO PINTU BATU","HTTP LOGON FAILURE","WARNING","July 19, 2019 5:25:11 AM",Y
"TOILI - MAKAPA ( 8GHZ, POL. HORIZONTAL )/Radio-5.1","Remote communication failure","CRITICAL","March 22, 2021 10:47:43 AM",N
"TSEL PASAR WAJO - TSEL WARINTA 8 GHz/HIGH/VERTICAL","LOST CONTACT","INDETERMINATE","February 17, 2020 7:43:25 PM",N
"REP BANGKO - STO BANGKO/2RU/Power Supply 2","Power Supply is missing in slot","MAJOR","October 5, 2017 10:10:44 AM",Y
"GN.TABUR _ TANJUNG REDEB ( SYSTEM 3 )/Radio-6.1","RFU RX level path1 out of range","WARNING","April 27, 2020 1:05:15 PM",N
"REP. ASULI TO TOLETOLE#1  8 GHz CHANNEL 6/Radio-1","Traffic not being sent through radio on slot 2 by multi-radio","WARNING","October 26, 2021 5:06:03 PM",N
"DANGAS - STO BALAI KARIMUN 5+0 ( VERTICAL ) 6 ghz/Radio-6.1","RFU RX level path1 out of range","WARNING","April 8, 2019 3:36:50 AM",Y
"DMT Pantai Indomba to DMT Waindu System 3","LOST CONTACT","INDETERMINATE","October 24, 2021 10:21:05 PM",N
"BKT BARATAN - MAMBURUNGAN XPIC 4+0 NEW/Radio-4.1-XPIC.1","Remote communication failure","CRITICAL","October 26, 2021 3:15:12 AM",N
"RESIEI TO WINDHESI System 1 (4+0)/Radio-2.1","RFU communication failure","WARNING","September 14, 2021 8:44:19 AM",N
"REP. KAPTIAU - NIMBOKRANG SYSTEM 2/MC-ABC.1","LVDS RX Error Slot 6","MAJOR","May 21, 2021 8:11:06 AM",N
"KARIMUN TO PLAJAN UP GRADE IP-20/1RU/Power Supply 2","Under voltage","MAJOR","October 15, 2021 9:22:40 AM",N
"WAINGAPU_MATAWAI KRAHA #1  CH.1/E1-1.12","E1/DS1 loss of signal on port #12","MAJOR","July 12, 2021 7:24:25 AM",N
"R-CGN-IP10_MSKU_to_STNG_SL01_MR/E1-1.12","E1/DS1 unexpected signal on port #12","WARNING","October 24, 2021 3:01:38 AM",N
"WAINGAPU - PUARLOLO UPGRADE 4+0 XPIC ( DESEMBER 2019 ) SYSTEM 3/ETY-1.4","Loss of Carrier","MAJOR","March 12, 2021 5:15:06 AM",N
"MANTEBAH TO KALIS XPIC/Radio-6.1-XPIC.2","Remote communication failure","CRITICAL","October 21, 2021 2:59:39 PM",N
"TSEL GRAND MANDIRI TO STO SINTANG/Radio-4.1-XPIC.1","Remote communication failure","CRITICAL","October 26, 2021 6:01:56 AM",N
"TVRI SOROAKO TO ASOLI#1 8 GHz CHANNEL 5/Radio-1","Traffic not being taken from radio on slot 2 by multi-radio","WARNING","October 24, 2021 3:32:36 AM",N
"06 HAJAK/ETY-1.3","Ethernet loss of carrier on port #3","MAJOR","September 26, 2021 7:42:18 PM",N
"MAMBURUNGAN TO BEBATU SUPA/E1-2.4","Loss-of-frames alarm on TDM service","MAJOR","November 30, 2020 6:48:23 PM",N
"REP. TOLE - TOLE TO MALILI#1  8 GHz CHANNEL 6/Radio-3","Traffic not being taken from radio on slot 4 by multi-radio","WARNING","October 20, 2021 5:36:23 PM",N
"STO KUPANG TO CAMPLONG","HTTP LOGON FAILURE","WARNING","May 8, 2020 1:14:05 PM",N
"MATAWAI KRAHA_WAINGAPU #1  CH.1","LOST CONTACT","INDETERMINATE","July 27, 2021 7:07:26 AM",N
"Site-14 2.14 B.BARATAN - SAJAU CH1-3 HIGH XPIC VERTICAL/Radio-4.1-XPIC.1","Radio loss of frame","CRITICAL","April 27, 2021 7:37:41 PM",N
"MAMBURUNGAN TO GN DAENG FREQ 4,5GHz LOW 7+0 XPIC SD ( JULI 2021 )/Radio-7.1","Radio loss of frame","CRITICAL","August 26, 2021 1:44:31 PM",N
"ILEWENGOT - STO LARANTUKA U6GHz/XPIC/LOW/Radio-3.1-XPIC.1","RFU RX level path2 out of range","WARNING","March 21, 2019 3:11:25 AM",Y
"MANANMUR TO OTOWERI (5+0)/Radio-6.1-XPIC.2","RFU RX level path2 out of range","WARNING","October 26, 2021 7:30:27 PM",N
"MALILI TO KAREBE#1 8 GHz CHANNEL 7/Shelf/Slot 1 - MALILI TO KAREBE SLOT 1/IDU","Communications lost with IDU #2","CRITICAL","September 10, 2021 6:31:50 PM",N
"EILOGO - SAMBUKU FREK. 6GHz 3+0 NEW ( high )","HTTP LOGON FAILURE","WARNING","November 20, 2019 8:02:20 AM",Y
"Telkom Site Bundung (Backup Telkomsel Pebruari 2014)/ETY-4.2","Gigabit Ethernet SFP not inserted on port #2","MAJOR","September 29, 2021 8:32:49 PM",N
"TIDUNG PALA TO BEBATU 8GHz CH1 HIGH VERTICAL/E1-1.1","E1/DS1 unexpected signal on port #1","WARNING","October 13, 2021 12:13:12 PM",N
"HANAU TO ASAM BARU. / U6 GHz XPIC / CH. 7H / 2+0 SD/MC-ABC.1","Multi Carrier ABC LOF","CRITICAL","January 22, 2020 4:16:35 AM",Y
"PINTU BATU - RANSIKI (2+0) UPGRADE 2019/Radio-3.1-XPIC.1","Remote communication failure","CRITICAL","October 21, 2021 2:48:50 PM",N
"NEGERI BARU TO SEI BEROMBANG/IDU/IDC","Loss of Protection","WARNING","November 13, 2018 2:51:26 PM",Y
"STO SAMBAS - TSEL KARTIASA 8 GHz / CH.6 / VERTICAL / TX HIGH","HTTP LOGON FAILURE","WARNING","January 19, 2021 6:20:08 AM",N
"SEIMAYANG - LABANAN (SYSTEM 4 )/Radio-3.1-XPIC.1","RFU RX level path1 out of range","WARNING","December 23, 2020 10:29:51 PM",N
"BONGGO TO ANUSPODENA (System 1)","LOST CONTACT","INDETERMINATE","April 28, 2020 5:41:11 AM",N
"TEWAH TO KURUN REPEATER 6 GHz Ch-5 HIGH VERTICAL/Radio-3","Traffic not being taken from radio on slot 3 by multi-radio","WARNING","September 30, 2021 10:46:04 AM",N
"Telkom Site Bundung (Backup Telkomsel Pebruari 2014)/ETY-2.6","Ethernet loss of carrier on port #6","MAJOR","October 7, 2021 9:16:31 AM",N
"KP MOOS - KP TELIGUNG","LOST CONTACT","INDETERMINATE","January 25, 2020 1:14:36 PM",Y
"SERASAN TO REP SAMBAS SYSTEM 2 FREQ 6Ghz/MC-ABC.1","LVDS RX Error Slot 6","MAJOR","October 26, 2021 4:42:04 AM",N
"PUARLOLO TO LABUHAN BAJO 4+0 Vertikal (expan april-2019)/Radio-6.1","Radio loss of frame","CRITICAL","December 28, 2020 3:44:35 PM",N
"STO SAMBAS - TSEL KARTIASA 8 GHz / CH.6 / VERTICAL / TX HIGH/Radio-1","Traffic not being sent through radio on slot 2 by multi-radio","WARNING","February 18, 2019 2:35:06 PM",Y
"Link Musirawas - Asambaru 6 Ghz-CH4 High/Slot 1 - Link Sepang - Bawan / 8 GHz / Ch. 2 / Tx High/IDU","Failure in one or more TDM trails","WARNING","July 16, 2020 9:30:23 AM",N
"SUKAJADI TO DUMAI NEW 1G (Relokasi Februari-2021)","LOST CONTACT","INDETERMINATE","February 19, 2021 3:45:44 PM",N
"EILOGO - SAMBUKU/E1-1.4","E1/DS1 unexpected signal on port #4","WARNING","March 17, 2020 9:42:38 AM",N
"02 TELKOM SAMUDA/Radio-2","Radio loss of frame","CRITICAL","September 28, 2021 12:47:25 PM",N
"Ratewo to New Rep 1. Wapoga System 3","LVDS RX Error Slot 8","MAJOR","December 19, 2020 7:19:05 AM",N
"SANGATA2 - PERDAU FREK.6G HIGH CH4-CH6 XPIC (HORIZONTAL)/Radio-8.1-XPIC.3","Radio loss of frame","CRITICAL","October 25, 2021 12:26:41 AM",N
"BKT SAMBUKU - BKT MANUALAI 2+0 8 GHz CH 6 LOW/Shelf/Slot 1 - BKT SAMBUKU - BKT MANUALAI 2+0 8 GHz CH 6 LOW/IDU","E1/DS1 unexpected signal on port #11","WARNING","June 28, 2021 11:38:08 AM",N
"BUKIT NAMORA TO SUNGAI PENUH 8 GHz CH 7 #1/Radio-6","Radio signal degrade","MINOR","June 16, 2019 12:04:17 AM",Y
"OMTEL - DONANGBILA U6 GHz / HIGH / VERTICAL","LOST CONTACT","INDETERMINATE","December 13, 2019 2:14:16 PM",Y
"OMTEL TO DUNANGBILA/E1-2.13","E1/DS1 Unexpected signal on TDM-LIC TDM port","WARNING","December 4, 2017 2:23:58 AM",Y
"Waindu to Pantai Indomba System 3/Radio-9.1-XPIC.4","Radio loss of frame","CRITICAL","October 25, 2021 7:12:51 AM",N
"REP.NABIRE TO STO NABIRE SYSTEM 1","LOST CONTACT","INDETERMINATE","March 11, 2021 7:26:27 PM",N
"SANGATA2 - PERDAU FREK.6G HIGH CH4-CH6 XPIC (HORIZONTAL)/Radio-5.1-XPIC.2","Radio loss of frame","CRITICAL","October 12, 2021 9:50:57 PM",N
"BAGARSEWAR TO BSC MARARENA System 1","LOST CONTACT","INDETERMINATE","March 18, 2020 2:27:06 PM",N
"PARIT TO PARENGGEAN IP10","LOST CONTACT","INDETERMINATE","August 12, 2021 5:14:22 PM",N
"BKT TAMBULUN - BKTTINGGI FREK. 6GHz / CH 3L VERTICAL/Radio-3","RFU Rx level path2 out of range","WARNING","June 27, 2018 5:08:06 AM",Y
"TOR SINGALINGALI - GUNUNG SITOLI (Upgrade Agustus 2016)","LOST CONTACT","INDETERMINATE","June 25, 2021 5:16:18 PM",N
"SEKAYU_BETUNG FREQ 8 GHz CH.3/Radio-2","Radio loss of frame","CRITICAL","May 7, 2018 8:24:37 PM",Y
"IP10_Mempawah_to_Bundung_SL01/E1-1.2","E1/DS1 loss of signal on port #2","MAJOR","November 4, 2019 2:31:38 PM",Y
"01 TANJUNG TABALONG","LOST CONTACT","INDETERMINATE","October 27, 2021 1:53:23 PM",N
"BKT SAMBUKU - BKT MANUALAI 2+0 8 GHz CH 6 LOW/Shelf/Slot 1 - BKT SAMBUKU - BKT MANUALAI 2+0 8 GHz CH 6 LOW/IDU","Remote communication failure","MAJOR","June 28, 2021 11:38:08 AM",N
"BTS WAINANGURA-BTS ELOPADA CH.5/Radio-3","RFU Rx level path1 out of range","WARNING","May 8, 2021 9:27:07 AM",N
"MATARAM - BKT. TENGAH 6 GHz EXPAND ASURANSI/HIGH/XPIC/Radio-5.1-XPIC.2","RFU RX level path2 out of range","WARNING","October 22, 2021 12:10:50 PM",N
"Waindu to Pantai Indomba System 3/Radio-8.1-XPIC.3","RFU RX level path1 out of range","WARNING","October 25, 2021 7:12:51 AM",N
"BETUNG_SEKAYU 8GHz CH.3/Shelf/Slot 1 - BETUNG_SEKAYU 8GHz CH.3/IDU","TDM backplane LOF for slot #2","CRITICAL","June 29, 2018 3:53:12 AM",Y
"STO TAKENGON TO SITE BUKIT SAMA/E1-1.10","E1/DS1 loss of signal on port #10","MAJOR","March 12, 2019 12:21:47 AM",Y
"BONGGO TO REP. KAPTIAU System 2/Radio-3.1","RFU RX level path1 out of range","WARNING","May 22, 2021 7:55:56 AM",N
"SIAK to PENYENGAT Link A Agent/IDU/Drawer 1","Active","INFO","September 18, 2020 6:06:42 AM",N
"WAIKABUBAK_BTS ELOPADA #1 CH.2/E1-1.5","E1/DS1 loss of signal on port #5","MAJOR","May 8, 2021 9:42:51 AM",N
"WUNDI TO RUNI 7 GHZ System 2/1RU/Power Supply 2","Under voltage","MAJOR","September 3, 2021 4:01:52 PM",N
"BATUI - TONGKIAN 8GHZ. CH 8 HIGH/ HORT SD/Radio-1","Traffic not being taken from radio on slot 2 by multi-radio","WARNING","February 18, 2021 11:06:37 AM",N
"KEMBAYAN_TVRI BALAI KARANGAN ( NEW 3+0 )/Radio-4.1","RFU TX Mute","WARNING","October 26, 2021 4:41:58 AM",N
"STO TJ. BALAI KARIMUN - DANGAS 5+0 ( VERTICAL ) 6 ghz","LOST CONTACT","INDETERMINATE","August 30, 2018 9:36:56 PM",Y
"SITE BUKIT SAMA TO SITE BUKIT RIMBA RAYA/ETY-3.5","Ethernet loss of carrier on port #5","MAJOR","March 13, 2019 9:02:26 AM",Y
"LUWUK CITY TO KINTOM #1 / 8GHz / CH 6 VERTICAL / TX LOW/Shelf/Slot 2 - biak - kintom 8ghz / 8L/IDU","Remote communication failure","MAJOR","September 21, 2021 12:17:10 PM",N
"ENTIKONG-TVRI/E1-1.9","E1/DS1 loss of signal on port #9","MAJOR","October 6, 2021 1:58:47 PM",N
"OMTEL TO DUNANGBILA/1RU/Power Supply 2","Under voltage","MAJOR","October 12, 2017 3:10:30 PM",Y
"BTS TSEL SEBA - REP. TSEL ALIOGO SEBA 2+0 8 GHz CH 2 L/E1-1.16","E1/DS1 unexpected signal on port #16","WARNING","April 17, 2019 7:25:33 AM",Y
"NEW TAFREY-TVRI RELOK (5+0) OKTOBER 2019/ETY-1.1","Loss of Carrier","MAJOR","January 16, 2021 1:06:25 PM",N
"TELKOM PONTIANAK (Backup TSEL TTC_PTK to IP_RAN SKW)","NE CONFIGURATION MISMATCH","WARNING","October 12, 2021 12:47:46 PM",N
"SANGATA2 - PERDAU FREK.6G HIGH CH 1-CH3 XPIC (VERTICAL)","Multi Carrier ABC LOF","CRITICAL","October 25, 2021 12:35:39 AM",N
"STO SAMBAS - TSEL KARTIASA 8 GHz / CH.6 / VERTICAL / TX HIGH/ETY-1.4","Ethernet loss of carrier on port #4","MAJOR","February 18, 2019 2:35:06 PM",Y
"KP. SIHU - KP. BOTAI BARU (2+0) UPGRADE 2019/MC-ABC.1","LVDS RX Error Slot 3","MAJOR","September 14, 2021 5:06:39 AM",N
"Site-15 2.15 KARUNGAN-B.BARATAN CH1-3 LOW XPIC HORIZONTAL","LVDS RX Error Slot 6","MAJOR","March 16, 2019 8:13:41 AM",Y
"DMT LIA TO TAMAKO FREQ 6GHz CH.3H ( VERT )","LOST CONTACT","INDETERMINATE","October 27, 2021 2:13:07 PM",N
"MUARA PAHU - MELAK/Shelf/Slot 1 - Link Muara Pahu - Melak / 8 GHz / Ch. 5 / Tx High/IDU","Trails mapped to inexistent interfaces in IDU #2","WARNING","January 15, 2021 2:44:53 AM",N
"GN.DAENG-SEI BATANG","LOST CONTACT","INDETERMINATE","December 24, 2020 7:33:19 AM",N
"BKT BANGKU - DABOSINGKEP 4+0 6GHZ LOW","HTTP LOGON FAILURE","WARNING","May 8, 2020 5:47:23 AM",N
"PIRMA TO STO FAKFAK (5+0)/Radio-7.1-XPIC.2","Remote communication failure","CRITICAL","June 22, 2021 1:38:56 PM",N
"NUNUKAN TO SEIBATANG 8GHz/E1-5.6","Alarm Indication Signal (AIS) on TDM-LIC TDM port","MAJOR","June 18, 2020 2:46:42 AM",N
"WOTU - BONEPUTE#1 8 GHz CHANNEL 3/Shelf/Slot 1 - #slot1/IDU","Communications lost with IDU #2","CRITICAL","September 20, 2021 12:03:20 PM",N
"TELKOM PANGGUNG PINANG - PENDOPO FREK. 6 GHZ VERTICAL/Radio-4.1","RFU communication failure","WARNING","October 25, 2018 12:04:53 PM",Y
"LAPE TO SANGGAU (5+0) April 2021/Radio-5.1","Radio loss of frame","CRITICAL","October 14, 2021 4:07:34 PM",N
"GOLONAWANG _ NDESU 8+0 ( JULI 20 )/Radio-8.1-XPIC.3","Radio loss of frame","CRITICAL","August 7, 2021 5:31:51 AM",N
"BALABATU/ETY-2.6","Ethernet loss of carrier on port #6","MAJOR","December 17, 2019 10:52:15 AM",Y
"ANUSPODENA TO BONGGO (System 1)/Radio-3.1","Radio loss of frame","CRITICAL","March 7, 2020 7:53:15 AM",N
"03_SEPANG/Radio-3","Cable short","MAJOR","September 30, 2021 10:43:36 AM",N
"SUBI TO SERASAN SYSTEM 1 FREK 7 GHZ","LOST CONTACT","INDETERMINATE","October 16, 2021 11:18:25 AM",N
